,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-5037827401452845772,Quando o Scrum irá falhar - Tableless,Accidental discovery could help batteries last years longer,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Iniciando com o Docker: Criando suas próprias imagens - Tableless,Bots won't replace apps. Better apps will replace apps.,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket
-5014627593450767720,Drupal and ambitious digital experiences,Why Is Learning Drupal Hard?,Hacked Website Report - 2016/Q3,Cross-channel user experiences with Drupal,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Dries Distributions remain a growing opportunity for Drupal - Buytaert
-5011709367955107239,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Conselho da SABMiller aceita proposta de compra da AB InBev,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Elasticsearch: CSV exporter for Kibana Discover,Gartner Reprint,Startups apostam em aplicativos que conectam fretes e caminhoneiros
-5002383425685129595,Changing change management,How to Create an Exponential Mindset,Creating value in auto finance with vLendRight | Kevin Moseri,Goodbye accountants! Startup builds AI to automate all your accounting,Algorithms and architecture for job recommendations,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio
-4996336942690402156,Live asynchronously.,Google lança experimentos com inteligência artificial | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,Introduction · Bitcoin para Programadores,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,How it feels to learn Javascript in 2016
-4974757204495953627,Alecrim/AlecrimCoreData,Microsoft's Open Source Love Affair Reaches New Heights,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Why porting an iOS design to Android will not work,"Incrível, Skype se lembrou que o Linux existe!",Google is testing a new Material Design layout for desktop searches
-4944551138301474550,Algorithms and architecture for job recommendations,Goodbye accountants! Startup builds AI to automate all your accounting,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Creating value in auto finance with vLendRight | Kevin Moseri,This startup uses machine learning and satellite imagery to predict crop yields,Google acquires deep search engine Kifi to enhance its Spaces group chat app
-4888170580455425266,Speeding up ReSharper (and Visual Studio),MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,'We've realized a ten-year strategy goal in one year',Microservices - When to React Vs. Orchestrate - Capital One DevExchange,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Como são escrita as risadas em japonês? - Suki Desu
-4875060556471576861,Jenkins 2.0 is here!,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,My experience with Google's Associate Android Developer Certification,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Modelando APIs REST com Swagger
-4831310174172854034,Standing on the Shoulders of Giants - Built to Adapt,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Cubr,Building Spring Cloud Microservices That Strangle Legacy Systems,bliki: StranglerApplication
-4798431998955209742,What Color is Your Function?,Sam Newman - Backends For Frontends,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,The barbell effect of machine learning.
-4765711818183276269,Google lags behind Amazon and Microsoft's cloud in one important area,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,"An independent organization just ranked Google as the best cloud, beating Amazon",5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Text summarization with TensorFlow
-4754223659064624252,Effective learning through code workshops | Box Blog,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Text summarization with TensorFlow,"Bots, Messenger and the future of customer service",Wide & Deep Learning: Better Together with TensorFlow,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
-4700714777342103147,"Say goodbye to traditional customer segmentation "" Banking Technology",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Programming by poking: why MIT stopped teaching SICP,Facebook is open-sourcing its AI bot-building research,It's The Future
-4655195825208522542,Java 9 na prática: Jigsaw,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,On DRY and the cost of wrongful abstractions,My favorite people and resources to learn Android programming from,bliki: StranglerApplication,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
-4625438649010928449,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,Goodbye accountants! Startup builds AI to automate all your accounting,Creating value in auto finance with vLendRight | Kevin Moseri,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi
-4509487968959834430,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Chat Smarter with Allo,"Para neurociência, motivação não é fator principal em mudança de hábitos",Scrum Community - Scrum Alliance,How to augment your career with leadership coaching,"Ser um bom líder depende de inúmeros fatores. Mas um deles, segundo o inglês Simon Sinek, é importantíssimo: a coragem para proteger as equipes e para arriscar quando necessário"
-4503975842879662368,Google Ranking Factors: The Complete List,Introduction to Natural Language Processing - University of Michigan | Coursera,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Stop saying learning to code is easy.,A minha viagem à Maternidade #tetodomundo,Livro: Retrospectivas Divertidas
-4487024160266973763,Visa inaugura Co-Creation Center em São Paulo,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Is FinTech Forcing Banking to a Tipping Point?,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
-4460374799273064357,"Deep Learning for Chatbots, Part 1 - Introduction",WeChat's competitor to Slack has arrived,Why Is Learning Drupal Hard?,WeChat's world,Multi-Channel Marketing in 2015 - It's not rocket science.,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
-4386371945374980231,Por que o Walmart não é Walmart no Brasil,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Não existe frete grátis!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Cia. Hering sincroniza diferentes marcas em um único portal de compras,From E-Commerce to Web 3.0: Let the Bots Do the Shopping
-4358357193736101128,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Announcing .NET Core 1.0,Acesse a versão Material Design do YouTube | Google Discovery,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Google lança experimentos com inteligência artificial | Google Discovery,How I sped up the initial render of my Polymer app by 86%
-4338308747999225618,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,An operating model for company-wide agile development,Mobile banking conquista o coração dos brasileiros,Big IT Rising
-4336877432539963613,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,1º Congresso Brasileiro de IoT - Embarcados,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
-4333957157636611418,Why Programmers Want Private Offices,The hardest thing in computer science,Things you probably didn't know you could do with Chrome's Developer Console,Nubank e Goldman fecham parceria de R$ 200 milhões,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,My favorite people and resources to learn Android programming from
-4333056764244640444,Lentes de contato inteligentes serão o wearable definitivo,How to finish 3D printed PLA objects,Peças Translúcidas,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Ouça a música criada pela inteligência artificial do Google | Google Discovery
-4278025512576376201,#Sentaquelávemtextão,Workplace diversity in Brazil: there's still a long way to go,O dia em que tive mais medo de estar errada.,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",As expectativas das mulheres da Geração Y são muitas,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC"
-4233177915193302509,Governo brasileiro cria manual para contratação de cloud,Especial: O papel dos grandes provedores de TI na Rio 2016,Mobile marketing statistics 2016,"5 awesome Google Keep features you aren't using, but should be","No, Apple isn't the next BlackBerry - it's the next Microsoft",Latin America's chronic inefficiency could drive more O2O commerce growth
-4228415104574264137,Up your app's sharing game with DirectShare - Google Developers,Lists are the new search,The barbell effect of machine learning.,Designing smart notifications,This Super Accurate Portrait Selection Tech Uses Neural Networks,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-4216050818952952471,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Goodbye accountants! Startup builds AI to automate all your accounting,Algorithms and architecture for job recommendations,This startup uses machine learning and satellite imagery to predict crop yields,Creating value in auto finance with vLendRight | Kevin Moseri,How to Create an Exponential Mindset
-4205346868684833897,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Google's Cloud Machine Learning service is now in public beta,AI Is Here to Help You Write Emails People Will Actually Read,Artificial intelligence produces realistic sounds that fool humans,Why Google App Engine rocks: A Google engineer's take,Big IT Rising
-4158297476631283435,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Bitcoin Accepted! German Energy Giant Enables Payments - CCN: Financial Bitcoin & Cryptocurrency News,Inbox by Gmail ganha formatação de texto | Google Discovery,4 Reasons Managers Should Spend More Time on Coaching,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil
-4145260601063545880,Why Learning Angular 2 Was Excruciating,Closure Compiler in JavaScript,Standing on the Shoulders of Giants - Built to Adapt,"A whole new GitHub Universe: announcing new tools, forums, and features",Things you probably didn't know you could do with Chrome's Developer Console,bliki: StranglerApplication
-4133169317019898816,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Sam Newman - Backends For Frontends,4 Reasons Managers Should Spend More Time on Coaching,What Color is Your Function?,Up your app's sharing game with DirectShare - Google Developers,The barbell effect of machine learning.
-4132331404553626868,Gartner Reprint,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,Assessing Salesforce's platform and ecosystem | ZDNet,Things you probably didn't know you could do with Chrome's Developer Console,The Internet of Things is looking for its VisiCalc
-4089455027188314262,Python Is Not Java (dirtSimple.org),Cracking the Job Interview with TensorFlow,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Firebase and Google Cloud: better together,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Why porting an iOS design to Android will not work
-4084394822880420062,Android Studio 2.2,My favorite people and resources to learn Android programming from,The technology behind preview photos,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Advanced Android Espresso,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
-4070599188332885701,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Communication patterns in a Microservice world,Using Microservices Architecture as API Enablement Strategy,Hype Driven Development,How to build cross-platform mobile apps using nothing more than a JSON markup,Alecrim/AlecrimCoreData
-4050006690189978332,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,An overview of web service solutions in Drupal 8,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,6 reasons why I like KeystoneML,Transfer Style But Not Color
-4037032837327175755,Blaise Agüera y Arcas: How computers are learning to be creative,Transfer Style But Not Color,"Hello, TensorFlow!",Artificial intelligence produces realistic sounds that fool humans,Google's Cloud Machine Learning service is now in public beta,Introduction to Natural Language Processing - University of Michigan | Coursera
-4029704725707465084,Former Google career coach shares a visual trick for figuring out what to do with your life,4 Reasons Managers Should Spend More Time on Coaching,Qual é o valor da área de T&D na sua empresa?,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Cinco competências comportamentais para você ser um bom líder,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
-4027027091658759481,How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Transfer Style But Not Color,Touch (TV Series 2012-2013),Machine Learning and the VP Debate
-4024778022934140027,Using behavioral data to improve customer satisfaction,The Netflix Tech Blog: Netflix Billing Migration to AWS,Docker 1.12: Now with Built-in Orchestration!,Google is testing a new Material Design layout for desktop searches,What to Inspect When You are Inspecting!,Decentralizing IoT networks through blockchain
-3959242148361340089,Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Elasticsearch: CSV exporter for Kibana Discover,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre"
-3954182109690207118,Google Cloud Goes to the Farm,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO","Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Evernote anuncia integração com Google Drive | Google Discovery,Here's proof that Google is getting serious about battling Facebook in a key area,Mobile marketing statistics 2016
-3944300307678659798,DBA BRASIL no INTEROPMIX 2016,Things you probably didn't know you could do with Chrome's Developer Console,Este texto do Ranieri é a melhor coisa que você lerá hoje,Internet of Things Drives Outcome-Based Business Models,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,How it feels to learn Javascript in 2016
-3912939678517879962,Jury finds Google's implementation of Java in Android was fair use,9 Non-Threatening Leadership Strategies for Women,Google employees are adding 'Lady' to their job titles to fight sexism,Google's cloud platform is now a force to be reckoned with,"An independent organization just ranked Google as the best cloud, beating Amazon",Graph Capabilities with the Elastic Stack
-3900870368325485697,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Especial: O papel dos grandes provedores de TI na Rio 2016,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Rewiring Citi for the digital age,Meet the new Brazilian consumer
-3875881534863988868,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,You won't recognize the new world of digital payments without this report,Design Kit: Prototyping,Is FinTech Forcing Banking to a Tipping Point?
-3864069617285644895,How to finish 3D printed PLA objects,Peças Translúcidas,Announcing .NET Core 1.0,Lentes de contato inteligentes serão o wearable definitivo,11 Internet of Things (IoT) Protocols You Need to Know About,Alecrim/AlecrimCoreData
-3850803681204406658,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa inaugura Co-Creation Center em São Paulo,You won't recognize the new world of digital payments without this report
-3780822597455574960,Top Programming Languages Trends: The Rise of Big Data,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Berners-Lee quer criar outra Web,Introducing New Relic Infrastructure,Prisma for Android is now live for all in the Google Play Store,10 Modern Software Over-Engineering Mistakes
-3750879736572068916,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The rise of APIs,Meet the new Brazilian consumer,You won't recognize the new world of digital payments without this report,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"Microsoft adquire LinkedIn por US$ 26,2 bilhões"
-3723217532224917485,11 Internet of Things (IoT) Protocols You Need to Know About,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,1º Congresso Brasileiro de IoT - Embarcados,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,How to finish 3D printed PLA objects
-3716447017462787559,Squads não-suicidas - Hipsters #08,Promises | Web Fundamentals - Google Developers,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Touch (TV Series 2012-2013),"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
-3700095596785790870,How to Design a Walkthrough That Users Will Read,The Business Case for Progressive Web Apps,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Usability Heuristics for Bots - Chatbots Magazine,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,You don't talk about refactoring club
-3678789633202302491,Do You Suffer From Deployment Anxiety? - DZone DevOps,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Microservices testing,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,On DRY and the cost of wrongful abstractions,Seniority
-3675009040647936899,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Anti-If: The missing patterns,What Color is Your Function?,Sam Newman - Backends For Frontends,Labelling automated builds on Docker Hub - Microscaling Systems,Serverless real-time architecture on AWS: there is a way !
-3666646454167334466,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Calm down: Google's use of Material Design on iOS is fine,"Autofill: What web devs should know, but don't",Chrome OS now has Material Design for the desktop,Post: Just Say mNo to Hungarian Notation,Cubr
-3662111110237135231,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",An overview of web service solutions in Drupal 8,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Text summarization with TensorFlow
-3605608255586388018,"GitHub broke my 1,000 day streak - Free Code Camp","DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Programming by poking: why MIT stopped teaching SICP,An overview of web service solutions in Drupal 8,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!","Bots, Messenger and the future of customer service"
-3581194288660477595,The End Of Apple Man,Google may be considering Swift for use on Android,Why porting an iOS design to Android will not work,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,"Apple's new file manager, APFS, is awesome",Facebook's WhatsApp does something very different than Google
-3552937095886146934,The Netflix Tech Blog: Netflix Billing Migration to AWS,Docker 1.12: Now with Built-in Orchestration!,Google is testing a new Material Design layout for desktop searches,Using behavioral data to improve customer satisfaction,What to Inspect When You are Inspecting!,Stop saying learning to code is easy.
-3482581255202910790,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,bliki: StranglerApplication,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Kotlin no Backend (Parte 2) :: Concrete Solutions,"What do you mean by ""Event-Driven""?",Microservices testing
-3469502952547705884,AEM 6.1 Package Manager Metadata Files,Multi-Channel Marketing in 2015 - It's not rocket science.,"Deep Learning for Chatbots, Part 1 - Introduction","Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Measuring email effectiveness in retail banking,"How I built an app with 500,000 users in 5 days on a $100 server"
-3400154175330058574,Skill swarms - a new way to share expertise and work smarter together - Skillhive,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Shopping app Spring's redesign could be a game-changer,Will blockchain drive the fourth Industrial Revolution?,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
-3363563881552061188,Do you want Crappy Agile?,An operating model for company-wide agile development,Big IT Rising,An operating model for company-wide agile development,A step-by-step guide to agile growth experiments,Staying one step ahead at Pixar: An interview with Ed Catmull
-3351656282247453586,Microsoft expands its support for Docker containers,Docker 1.12: Now with Built-in Orchestration!,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",Google is testing a new Material Design layout for desktop searches,What to Inspect When You are Inspecting!
-3351652027149912881,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Google's Cloud Machine Learning service is now in public beta,6 reasons why I like KeystoneML,Programming by poking: why MIT stopped teaching SICP,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,System Code Geeks are giving away a FREE Sublime Text Editor License
-3348652277274905234,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Google lança experimentos com inteligência artificial | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Live asynchronously.,Blaise Agüera y Arcas: How computers are learning to be creative
-3338916066794638254,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Machine Learning Is No Longer Just for Experts,Containers are not VMs,Google lança YouTube Kids no Brasil | Google Discovery,19 Tips For Everyday Git Use
-3302834510061927448,Bayer anuncia compra da Monsanto por US$ 66 bilhões,Will blockchain drive the fourth Industrial Revolution?,"DevOps security requires new mindset and tools for visibility, automation",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Elastic Stack 5.0.0 Released,The rise of APIs
-3285397592982852407,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Design Kit: Prototyping,Visa lança desafio para startups de tecnologia - Startupi,Engineering Digital Banking Solutions Using UX Methodology,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,You won't recognize the new world of digital payments without this report
-3275688295651945765,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Measuring email effectiveness in retail banking,Bancos brasileiros fecham 200 agências em 2015 - Home - iG,Abrimos uma conta no Original.,Starbucks tem mais dinheiro do cliente em cartões do que bancos
-3191013159715472435,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Usability Heuristics for Bots - Chatbots Magazine,Olli: Artificial Intelligence for the real world of connected commuting,Ciclistas relatam roubos com agressividade na avenida dos Andradas,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro"
-3173020603774823976,Welcome Google Cloud Platform!,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Making open source data more available,Confused by blockchains? Revolution vs Evolution,An overview of web service solutions in Drupal 8,Accidental discovery could help batteries last years longer
-3170783292462058942,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls","Como o e-commerce brasileiro pode, enfim, começar a lucrar"
-3161714324304758767,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Artificial intelligence is changing SEO faster than you think,The return of the machinery question,The barbell effect of machine learning.,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Facebook says its new AI is almost as good as humans at understanding context
-3136683414587095274,Marketplace,"Google, Amazon and the upcoming battle over AI Assistants","Fresco, sim! - Android Dev BR",The return of the machinery question,Blaise Agüera y Arcas: How computers are learning to be creative,Facebook says its new AI is almost as good as humans at understanding context
-3102652803014865472,Conselho da SABMiller aceita proposta de compra da AB InBev,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Google segue Microsoft e lança ferramenta analítica grátis
-3102446808559723934,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,IoT a favor do relacionamento médico-paciente,Gartner Reprint
-3071732669882279801,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Duolingo's chatbots help you learn a new language,Mobile marketing statistics 2016,Five questions boards should ask about IT in a digital world,The future of the shopping mall,You won't recognize the new world of digital payments without this report
-3058031327323357308,The Java 8 API Design Principles,Micro Profile JavaEE com Wildfly Swarm,Java 9 na prática: Jigsaw,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Things you probably didn't know you could do with Chrome's Developer Console,Closure Compiler in JavaScript
-3040610224044779845,Things you probably didn't know you could do with Chrome's Developer Console,How it feels to learn Javascript in 2016,The hardest thing in computer science,Standing on the Shoulders of Giants - Built to Adapt,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,DBA BRASIL no INTEROPMIX 2016
-3027055440570405664,Joel on Software,"Autofill: What web devs should know, but don't",The barbell effect of machine learning.,This Super Accurate Portrait Selection Tech Uses Neural Networks,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-3020916840917845519,Hype Driven Development,Client-side ranking to more efficiently show people stories in feed,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Ciclistas relatam roubos com agressividade na avenida dos Andradas,gotwarlost/istanbul,How to Design a Walkthrough That Users Will Read
-2948321821574578861,Quando usar paginação e quando usar scroll infinito?,Shopping app Spring's redesign could be a game-changer,Effective learning through code workshops | Box Blog,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Wide & Deep Learning: Better Together with TensorFlow
-2899726011463496555,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Nubank e Goldman fecham parceria de R$ 200 milhões,CMN regulamenta abertura de conta de depósito por meio eletrônico,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Banking Needs a Customer Experience Wake-Up Call
-2855910583928922225,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",This Super Accurate Portrait Selection Tech Uses Neural Networks,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The barbell effect of machine learning.,"Autofill: What web devs should know, but don't",Lists are the new search
-2828628091730682303,Serverless Architectures,What to Inspect When You are Inspecting!,The Netflix Tech Blog: Netflix Billing Migration to AWS,Google is testing a new Material Design layout for desktop searches,Docker 1.12: Now with Built-in Orchestration!,Eclipse Foundation Releases Neon
-2808969983997441543,CSS Containment in Chrome 52 | Web Updates - Google Developers,Eclipse Foundation Releases Neon,Containers are not VMs,"Apple's new file manager, APFS, is awesome",Accidental discovery could help batteries last years longer,How I sped up the initial render of my Polymer app by 86%
-2808959554282640221,Java 8 Streams : 10 missing features,Java Garbage Collection Essencial,Como testar exceções em Java com o JUnit - Code a Test,What's the Best Programming Language to Learn in 2017?,The Ten Commandments of Egoless Programming,Don't document your code. Code your documentation.
-2774293088092853604,Message buttons and the Slack API - Slack Platform Blog,Why Is Learning Drupal Hard?,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Marketplace,"Deep Learning for Chatbots, Part 1 - Introduction"
